# Logfile created on 2018-11-20 13:43:37 +0000 by logger.rb/56815
[2018-11-20T13:43:38+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2018-11-20T13:43:38+00:00] INFO: *** Chef 13.6.4 ***
[2018-11-20T13:43:38+00:00] INFO: Platform: x86_64-linux
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-prometheus.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/letsencrypt_renew.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_user.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/default.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2018-11-20T13:43:40+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
